timestamp [ns],name
1734597168290000000,recording.begin
1734597217738616000,start-1-dist
1734597309849681000,end-1
1734597362313927000,start-2
1734597457290811000,end-2
1734597488253753000,start-3-dist
1734597586907650000,end-3
1734597622142219000,start-4-dist
1734597713014066000,end-4
1734597740940020000,start-5
1734597832382723000,end-5
1734597864240516000,start-6
1734597958354621000,end-6
1734597985880947000,start-7-dist
1734598087579193000,end-7
1734598128413471000,start-8
1734598224735652000,end-8
1734598250298964000,start-9-dist
1734598353389888000,end-9
1734598382024493000,start-10
1734598481774095000,end-10
1734598510508771000,start-11-dist
1734598606092055000,end-11
1734598626879006000,start-12
1734598781037918000,end-12
1734598793938000000,recording.end
