timestamp [ns],name
1732933934984000000,recording.begin
1732933953370550000,start-1-dist
1732934046088980000,end-1
1732934077887511000,start-2
1732934172904172000,end-2
1732934198777144000,start-3-dist
1732934299496356000,end-3
1732934331207924000,start-4-dist
1732934421627971000,end-4
1732934455516700000,start-5
1732934548860160000,end-5
1732934570554336000,start-6
1732934665234198000,end-6
1732934686553155000,start-7-dist
1732934788225503000,end-7
1732934821315509000,start-8
1732934921102850000,end-8
1732934947736545000,start-9-dist
1732935048912462000,end-9
1732935087334089000,start-10
1732935186142271000,end-10
1732935211426142000,start-11-dist
1732935305125740000,end-11
1732935328819435000,start-12
1732935482005843000,end-12
1732935516240000000,recording.end
